type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,68460,88,1,100,83,33537.9,478199.9,5409.7,367.4
K-12 School,1,150000,103,1,100,73.9,10466,895599.9,8357.3,832.8
K-12 School,1,114325,87,1,100,67.1,47906.9,508079.9,8763,486
K-12 School,1,147600,88,1,100,55.8,28369.4,1442159.7,641.1,602.8
K-12 School,1,97200,91,1,100,90.2,33005.7,1519999.7,4604.8,634.7
K-12 School,1,121375,92,1,100,71.7,53032.3,687199.9,4962.4,558.3
K-12 School,1,234800,93,1,100,39.9,77765,387200,7726.7,544.2
K-12 School,1,91200,84,1,100,73,44473.6,442080,829.5,419
K-12 School,1,82800,88,1,100,67.6,37408,386199.9,11092.8,349.7
K-12 School,1,104400,48,1,100,59.6,45334.4,368400,6518.8,378.3
K-12 School,1,96000,80,1,100,75.2,1872,424000,782,553.1
K-12 School,1,186000,83,1,100,72.6,109884.8,645999.9,3863.9,800.2
K-12 School,1,109200,62,1,100,51,614.2,501457.6,8975.7,433.8
K-12 School,1,123600,59,1,100,42.5,978,440639.9,4897.9,403.3
K-12 School,1,183600,52,1,100,50.5,3279.5,787133.6,8703.4,716.5
K-12 School,1,188400,59,1,100,68.8,3132,690502.7,2123.8,991
K-12 School,1,94800,60,1,100,61.3,42862.1,467799.9,0,359.3
K-12 School,1,171600,52,2,100,51,1604,721092.9,33805.4,678.3
K-12 School,1,136800,46,1,100,50.1,46848.9,689999.9,1110.2,438.5
K-12 School,1,177600,99,1,100,66.3,83887.6,668799.9,3857.5,719.5
K-12 School,1,207775,99,1,100,45.7,49312.5,1001999.9,5154.9,636.2
K-12 School,1,504000,38,1,100,48.2,882,2035999.7,0,1890.6
K-12 School,1,74830,88,1,100,55.1,18119.8,671999.9,2434.2,291.5
K-12 School,1,127200,17,1,100,79.4,37872.4,1636355.4,15418.4,729.1
K-12 School,1,74480,66,1,100,70.4,33742.6,380516.5,4663,331
K-12 School,1,101175,53,1,100,57.6,956,527199.9,8473.7,453.7
K-12 School,1,138275,88,1,100,61.8,18421.1,785599.9,16534.5,623.3
K-12 School,1,72260,88,1,100,70.3,30304.3,374951.7,9773.7,325.7
K-12 School,1,136000,88,1,100,69.5,56882.1,135625.8,25561.6,419.2
K-12 School,1,73200,83,1,100,85.8,1558,531199.9,5580.1,481.8
K-12 School,1,129600,55,1,100,61.4,48090.4,917199.9,0,521.7
K-12 School,1,98500,66,1,100,59.3,1156,362242,7818,448.8
K-12 School,1,129600,72,1,100,75.2,18764.9,1131999.9,9394.1,728.4
K-12 School,1,78225,53,1,100,55.2,713,388439.9,2848.5,336.2
K-12 School,1,187375,59,1,100,75.7,3926,1202399.8,2.2,1097.5
K-12 School,1,164525,63,1,100,48.4,1402.6,496640,4102.1,612.3
